ID_REF,FC,Gene Symbol
238439_at,0.25272920895833195,ANKRD22
201582_at,0.2525331912187543,SEC23B
202887_s_at,0.2524964018229152,DDIT4
206655_s_at,0.2523084344999944,GP1BB /// SEPT5 /// SEPT5-GP1BB
229390_at,0.2521473760833324,FAM26F
235352_at,0.25168266514583326,MR1
226169_at,0.25120309618750003,SBF2
204560_at,0.25101631046875106,FKBP5
209525_at,0.2507167720208354,HDGFRP3
214974_x_at,0.25062273610416597,CXCL5
203563_at,0.250493610875,AFAP1
203502_at,0.250337585822912,BPGM
223828_s_at,0.2498561294687507,LGALS12
213836_s_at,0.24961689081249894,WIPI1
213006_at,0.24929342478124816,CEBPD
208079_s_at,0.24872133011458342,AURKA
238983_at,0.24862628076041204,NSUN7
219892_at,0.24814162698958597,TM6SF1
219157_at,0.24788650453125172,KLHL2
237340_at,0.2476124578541672,SLC26A8
243721_at,0.24668901807291554,C18orf61
219519_s_at,0.24640162208332939,SIGLEC1
207314_x_at,0.24627005149999892,KIR3DL1 /// KIR3DL2
239143_x_at,0.24608362425000152,RNF138
205016_at,0.2460701675937509,TGFA
1568955_at,0.2452717867291634,SRGAP2 /// SRGAP2B /// SRGAP2C
204439_at,0.24524599431250138,IFI44L
202934_at,0.24523250096874882,HK2
227041_at,0.24505941475000004,SESTD1
227713_at,0.24505427169791716,KATNAL1
228362_s_at,0.24496119940624705,FAM26F
204900_x_at,0.24490721767708212,SAP30
207717_s_at,0.2446906678958336,PKP2
1555250_a_at,0.2442623305937488,CPEB3
236297_at,0.24340288053124937,PLXDC2
204067_at,0.24340080796875085,SUOX
212658_at,0.2433886732083348,LHFPL2
1552755_at,0.24301750053125115,C9orf66
219313_at,0.2427207067083339,GRAMD1C
242648_at,0.24209783758333536,KLHL8
217508_s_at,0.2417564256875,C18orf25
236154_at,0.24155753932291724,QKI
204686_at,0.2411905106145804,IRS1
231455_at,0.2411835727187488,LINC00487
221139_s_at,0.24105648280207959,CSAD
206871_at,0.24066351755208437,ELANE
206171_at,0.24045909069791271,ADORA3
1556239_a_at,0.2401300329999998,
1554309_at,0.23957418743750036,EIF4G3
223392_s_at,0.2395449092812516,TSHZ3
228716_at,0.23934596045833345,THRB
238488_at,0.23886195922916809,IPO11 /// LRRC70
226152_at,0.23864583952083152,TTC7B
239647_at,0.23841105319791378,CHST13
213198_at,0.2383442153749984,ACVR1B
238276_at,0.237978645072916,
212511_at,0.23786245878125456,PICALM
212169_at,0.2376660523437506,FKBP9
202800_at,0.23757773055208098,SLC1A3
212163_at,0.23746241244791833,KIDINS220
1569190_at,0.23736096764583614,LOC101927137 /// SCLT1
227250_at,0.23726487795833417,KREMEN1
201560_at,0.2372501848437505,CLIC4
207072_at,0.2368602719895847,IL18RAP
228341_at,0.2362448588958337,NUDT16
213624_at,0.23589169085416728,SMPDL3A
208158_s_at,0.23565046421875113,OSBPL1A
244508_at,0.235611202614586,SEPT7
227776_at,0.23555369868750375,ACER3
228790_at,0.23529512159375177,FAM110B
230261_at,0.23528745885416935,ST8SIA4
202351_at,0.23515410090624922,ITGAV
1558322_a_at,0.23500927038541608,PAQR9
202948_at,0.23500874563541618,IL1R1
225168_at,0.23482239515624936,FRMD4A
202252_at,0.23464173940625344,RAB13
224911_s_at,0.23449713926041849,DCBLD2
209522_s_at,0.23428108434374728,CRAT
228835_at,0.23422647101041694,RP4-758J24.5
200878_at,0.23414727866666762,EPAS1
228486_at,0.23333310263541662,SLC44A1
204081_at,0.23316047046874822,NRGN
205739_x_at,0.23293742244791815,ZNF107
1563975_at,0.23278626058333174,RNF130
228812_at,0.2326856648125002,REL
213537_at,0.23261664980208607,HLA-DPA1
228497_at,0.2325405811562531,SLC22A15
219525_at,0.2324227514791648,SLC47A1
44673_at,0.23235231904166564,SIGLEC1
205141_at,0.23221711932291456,ANG
203725_at,0.23209636785416432,GADD45A
243955_at,0.23195696261458476,
235759_at,0.23190577977083304,
220122_at,0.23164993141666912,MCTP1
235086_at,0.23139218908333303,THBS1
242338_at,0.23123872590625094,TMEM64
204970_s_at,0.23106044975000284,MAFG
233591_at,0.23105325091666806,RP11-476D10.1
205239_at,0.23101950071875077,AREG
225285_at,0.23085672778125055,BCAT1
203910_at,0.23066486360417038,ARHGAP29
