ID_REF,FC,Gene Symbol
242397_at,0.312819131843749,
210088_x_at,0.312446566093751,MYL4
220284_at,0.312210636000001,DKKL1
209082_s_at,0.3121997524999989,COL18A1
219255_x_at,0.31200296937500216,IL17RB
219410_at,0.3119732067499994,TMEM45A
232579_at,0.311592870000001,JHDM1D-AS1
213319_s_at,0.31155811550000045,YBX3
1556932_at,0.3114150522187469,
204419_x_at,0.31121792968750306,HBG1 /// HBG2
216956_s_at,0.31112476300000136,ITGA2B
233971_at,0.31106411284375035,FAM166A
224310_s_at,0.3105444116562497,BCL11B
234028_at,0.310540100249999,
224950_at,0.3098545448437502,PTGFRN
243861_at,0.3098428510625002,FNIP1
224327_s_at,0.3094165772812527,DGAT2
1559638_at,0.3093640084375,C1orf200
201118_at,0.3092245267812501,PGD
221425_s_at,0.3092062597812495,ISCA1
202291_s_at,0.3091622466874995,MGP
1553723_at,0.30914283206250026,GPR97
1553991_s_at,0.3088624800312525,LOC101928274 /// VSIG10
236332_at,0.3087443817500004,DHRS7
205095_s_at,0.30872946387499933,ATP6V0A1
242743_at,0.30820841196875026,
211702_s_at,0.3082022881874984,USP32
200983_x_at,0.3077364180000002,CD59
206964_at,0.3076899594374991,NAT8B
229736_at,0.30754712165625087,TMEM86B
212602_at,0.307530442093749,WDFY3
39729_at,0.3074050384999989,PRDX2
1562084_at,0.3072933903749995,
226064_s_at,0.3071921369999995,DGAT2
220507_s_at,0.30718965734375026,UPB1
208056_s_at,0.30698842231249834,CBFA2T3
237338_at,0.30696324653125284,B3GNT8
230214_at,0.3069587313750004,MRVI1
211299_s_at,0.30682883425000185,FLOT2
232006_at,0.3065032032499988,STK35
215505_s_at,0.30646239015624976,STRN3
229122_x_at,0.3062806224999983,NPRL3
240131_at,0.30614315343750054,
203389_at,0.3060157916875008,KIF3C
1555929_s_at,0.30590498184375026,
1556332_at,0.3055746566562485,
214831_at,0.30527925178124704,ELK4
224186_s_at,0.3050174798124994,RNF123
239067_s_at,0.3049669874374974,PANX2
212923_s_at,0.30492846940625107,PXDC1
229213_at,0.30487774359375,DIRC2
203149_at,0.3048459416875007,PVRL2
222139_at,0.3047000168750005,ERV3-2
1562903_at,0.3046044650625035,FAM86B3P
1558579_at,0.30442906365624944,FLJ37786
214472_at,0.30438812315625174,HIST1H2AD /// HIST1H3A /// HIST1H3B /// HIST1H3C /// HIST1H3D /// HIST1H3E /// HIST1H3F /// HIST1H3G /// HIST1H3H /// HIST1H3I /// HIST1H3J
201735_s_at,0.30432015503124976,CLCN3
1556872_s_at,0.3040692215937497,IQSEC3
221036_s_at,0.3039127064999967,APH1B
229373_at,0.3039101265312496,
1555743_s_at,0.30384639187500095,ERVH-6
1563369_at,0.30370670590624993,LINC00173
236012_at,0.30366493093749725,PSMF1
205645_at,0.303507917000001,REPS2
205175_s_at,0.30343332640624876,KHK
1562608_at,0.3033712473749999,
222043_at,0.30295830050000117,CLU
222942_s_at,0.302892458312499,TIAM2
